Strategy,Ending Value,Total Return,CAGR,Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Win Rate,Round Trips,Trades,Exposure
Buy & Hold,225849.36000000002,1.2584936,0.17651017599217744,0.2751224826204889,0.7179766737296205,1.041743028601056,-0.33315573196754655,,0,1,1.0
Trend Following,104160.46999999994,0.041604699999999495,0.008166300140784788,0.06540429783115709,0.1573500305172143,0.07197290423464078,-0.1220131872040332,0.5263157894736842,19,38,0.1163895486935867
Mean Reversion,145260.915,0.45260915,0.07733985104668895,0.10337713485635237,0.7710864013071176,0.41104920214055757,-0.0626388607512468,0.875,8,16,0.07759303246239113
Custom: Volume-Confirmed Trend Pullback,168057.1049999999,0.6805710499999988,0.10913464254371541,0.10431976268764322,1.0456569173018406,0.9554582796361126,-0.09858549856285581,0.5636363636363636,55,110,0.24861441013460014
