Strategy,Ending Value,Total Return,CAGR,Volatility,Sharpe Ratio,Sortino Ratio,Maximum Drawdown,Win Rate,Round Trips,Exposure
Buy & Hold,"$233,159.88",133.16%,96.01%,31.52%,2.26,4.07,-20.41%,—,0,100.00%
ML Signal,"$106,865.80",6.87%,5.42%,10.74%,0.54,0.45,-12.23%,50.00%,24,12.30%
